class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
M1,0.5282791817087846,0.7080645161290322,0.6050999310820124,0.9800667919014819,620.0,500,3,MAPS
M2,0.708066581306018,0.7590940288263556,0.7326929446836702,0.9719265289083698,1457.0,500,3,MAPS
Mast,0.8044831880448319,0.9714285714285714,0.8801089918256131,0.9938774090308217,665.0,500,3,MAPS
Monocyte,0.6253704801422644,0.7633863965267728,0.6875203649397197,0.9666388367077159,1382.0,500,3,MAPS
NK,0.8311499272197962,0.7779291553133515,0.8036593947923997,0.9805886036318097,1468.0,500,3,MAPS
Neutrophil,0.6989795918367347,0.7965116279069767,0.7445652173913042,0.9869199192931191,688.0,500,3,MAPS
Other,0.6273909716908952,0.8031341821743389,0.70446735395189,0.976066235302303,1021.0,500,3,MAPS
Treg,0.46519524617996605,0.8166915052160953,0.5927528393726338,0.9738050511375496,671.0,500,3,MAPS
Tumor,0.900373599003736,0.8753026634382567,0.8876611418047882,0.9872677937800042,1652.0,500,3,MAPS
overall,0.7306248672800775,0.8110898568927483,0.7612164127344907,0.7767689417658109,,500,3,MAPS
B,0.5868593955321945,0.6891975308641975,0.6339247693399573,0.9102831698323245,3240.0,50,4,MAPS
CD4 T,0.7607405649181106,0.4275613660618997,0.5474421385259203,0.8156613093995686,7496.0,50,4,MAPS
CD8 T,0.7122655122655123,0.7023335230506546,0.7072646510961456,0.9289292423293676,3514.0,50,4,MAPS
DC,0.5347826086956522,0.5106382978723404,0.5224316432174143,0.9374173798093648,1927.0,50,4,MAPS
Endothelial,0.7857605177993527,0.6973004020677771,0.7388922702373706,0.9701523690252557,1741.0,50,4,MAPS
Epithelial,0.3072227873855544,0.6711111111111111,0.421493370551291,0.9711612050372226,450.0,50,4,MAPS
Lymphatic,0.588963963963964,0.6936339522546419,0.6370280146163215,0.9792666805816461,754.0,50,4,MAPS
M1,0.26070287539936104,0.6580645161290323,0.37345537757437075,0.9523759827454255,620.0,50,4,MAPS
M2,0.6095166163141994,0.5538778311599176,0.5803667745415317,0.9594030473805051,1457.0,50,4,MAPS
Mast,0.5307769929364279,0.7909774436090226,0.6352657004830918,0.978988380992138,665.0,50,4,MAPS
