ligand,receptor,median_responder,median_nonresponder,difference
WNT11,FZD3,35.38461538461539,22,13.384615384615387
WNT11,FZD4,37.69230769230769,30.18867924528302,7.503628447024674
WNT11,FZD5,21.21212121212121,32,-10.78787879
WNT11,FZD6,29.230769230769234,27.956989247311824,1.273779983457409
WNT11,FZD7,24.242424242424242,16.98113208,7.261292166952543
WNT11,FZD8,29.230769230769234,14.285714285714285,14.945054945054949
EGF,EGFR,19.11928651059086,20.37037037037037,-1.25108386
EGF,EGFR_ERBB2,36.904761904761905,36.76470588235294,0.1400560224089631
AREG,EGFR,19.402985074626866,15.384615384615385,4.018369690011481
AREG,EGFR_ERBB2,41.37931034482759,32.075471698113205,9.303838646714382
NRG1,ERBB3,21.949891067538125,25.49019607843137,-3.540305011
NRG1,ERBB2_ERBB3,43.72526851328434,43.18181818181818,0.5434503314661612
FGF1,FGFR1,49.22279792746114,43.269230769230774,5.9535671582303635
FGF1,FGFR2,18.26086956521739,14.814814814814813,3.4460547504025776
FGF1,FGFR3,22.105263157894736,24.615384615384617,-2.510121457
FGF2,FGFR1,50.45454545454545,49.01960784313725,1.434937611408202
FGF2,FGFR2,21.243589743589745,16.071428571428573,5.1721611721611715
FGF2,FGFR3,32.65625,28.40909090909091,4.247159091
FGF7,FGFR1,45.55555555555556,40.74074074074074,4.814814814814817
FGF7,FGFR2,19.402985074626866,14.285714285714285,5.117270788912581
FGF18,FGFR1,46.34469696969697,46.05263157894737,0.2920653907495989
FGF18,FGFR2,19.39862861378799,20.76271186440678,-1.364083251
FGF18,FGFR3,23.985507246376812,28.07017543859649,-4.084668192
FGF9,FGFR1,50.641025641025635,45.953326713008934,4.687698928016701
FGF9,FGFR2,18.37823054833858,17.61329075425791,0.7649397940806679
FGF9,FGFR3,26.601447333154653,26.892712550607293,-0.291265217
PDGFA,PDGFRA,23.875,17.79380111924236,6.081198881
PDGFA,PDGFRB,35.16483516483517,36.47450110864745,-1.309665944
PDGFB,PDGFRA,26.136363636363633,18.809041835357625,7.327321801006008
PDGFB,PDGFRB,41.535714285714285,30.41833088080723,11.117383404907056
PDGFC,PDGFRA,23.636363636363637,19.270247469066366,4.366116167297271
PDGFD,PDGFRB,50.98039215686274,28.575757575757578,22.404634581105164
VEGFA,FLT1,37.582101806239734,34.375,3.2071018062397343
VEGFA,KDR,18.54100285091397,17.142857142857142,1.398145708056827
VEGFB,FLT1,45.65217391304348,35.84905660377358,9.803117309269894
VEGFC,KDR,27.906976744186046,25,2.9069767441860463
VEGFD,KDR,23.711340206185564,23.002645502645503,0.7086947035400613
PGF,FLT1,51.32352941176471,43.39622641509434,7.927302997
VEGFA,FLT1_KDR,42.857142857142854,42.5,0.3571428571428541
IGF1,IGF1R,16.496585491560367,16.030534351145036,0.46605114041533113
IGF2,IGF1R,16.328929690998656,16.666666666666664,-0.337736976
IGF2,IGF2R,28.33507034914018,34.623655913978496,-6.288585565
IGF1,ITGA6_ITGB4,42.12962962962963,41.02564102564102,1.1039886039886113
IGF2,ITGA6_ITGB4,41.17215349129796,40.74074074074074,0.4314127505572216
INS,INSR,53.246753246753244,57.19548872180451,-3.948735475
CCL5,CCR1,36.43134023135855,36.84445502708495,-0.413114796
CCL3,CCR1,35.80916237462727,34.61538461538461,1.193777759242657
CCL3L3,CCR1,37.682038834951456,39.23076923076923,-1.548730396
CCL8,CCR1,38,40.816326530612244,-2.816326531
CCL7,CCR1,46,48.660714285714285,-2.660714286
CCL13,CCR1,40.40444623007902,40.27899962297349,0.12544660710553046
CCL15,CCR1,36.014405762304925,41.54589371980676,-5.531487958
CCL23,CCR1,41.46270396270397,42.04545454545455,-0.582750583
CCL8,CCR2,23.48993288590604,22.35294117647059,1.1369917094354491
CCL7,CCR2,31.818181818181817,24.03846153846154,7.7797202797202765
CCL2,CCR2,17.822789493155753,20.698515416825273,-2.875725924
CCL4,CCR5,31.84421162230754,30.06943026342659,1.7747813588809507
CCL5,CCR5,27.605701191105737,30.42777877214963,-2.822077581
CCL3,CCR5,26.590918057363794,25.833333333333336,0.7575847240304583
CCL19,CCR7,18.60465116,27.493796526054588,-8.889145363
CCL21,CCR7,20.155038759689923,23.39924670433145,-3.244207945
CCL19,ACKR4,15.827338129496402,15.155539548912799,0.6717985805836033
CCL21,ACKR4,18.466898954703833,16.727493917274938,1.7394050374288952
CCL28,CCR10,25.29787234042553,19.874755381604693,5.423116958820838
CCL13,ACKR4,18.692396313364057,16.76561428,1.9267820374546574
CCL8,ACKR4,20.155038759689923,15.53398058252427,4.6210581771656525
CCL2,ACKR1,8.469344608879492,9.697325889,-1.22798128
CCL5,ACKR1,11.435265532801111,8.402996417,3.0322691154740014
CCL8,ACKR1,11.504424778761061,8.235294117647058,3.269130661114003
CCL13,ACKR1,9.490509490509492,9.918032786885245,-0.427523296
CCL18,ACKR1,11.766091051805338,7.637031209021767,4.129059842783571
CXCL1,ACKR1,10.569105691056912,9.836065573770492,0.7330401172864196
CXCL2,ACKR1,11.466942148760332,8.333333333333332,3.1336088154269994
CXCL3,ACKR1,10.639501980758347,8.914547494390426,1.7249544863679205
CXCL5,ACKR1,13.592233009708737,10.909090909090908,2.683142100617829
CXCL6,ACKR1,11.76470588235294,11.181818181818182,0.5828877005347586
CXCL8,ACKR1,8.333333333333332,7.462686567164178,0.8706467661691537
